path	basename	genotype	dataset	sample	batch	platform	fname
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/	ad003_11627_lig-blk_1_t1.fastq	5xFADWT			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/ad003_11627_lig-blk_1_t1.fastq
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/	ad003_11627_lig-blk_2_t1.fastq	5xFADWT			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/ad003_11627_lig-blk_2_t1.fastq
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/	ad003_11628_lig-blk_1_t1.fastq	5xFADWT			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/ad003_11628_lig-blk_1_t1.fastq
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/	ad003_11628_lig-blk_2_t1.fastq	5xFADWT			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/ad003_11628_lig-blk_2_t1.fastq
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/	ad003_11629_lig-blk_1_t1.fastq	5xFADWT			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/ad003_11629_lig-blk_1_t1.fastq
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/	ad003_11629_lig-blk_2_t1.fastq	5xFADWT			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/ad003_11629_lig-blk_2_t1.fastq
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/	ad003_12517_lig-blk_1_t1.fastq	5xCLU-h2kbKI_HO			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/ad003_12517_lig-blk_1_t1.fastq
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/	ad003_12517_lig-blk_2_t1.fastq	5xCLU-h2kbKI_HO			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/ad003_12517_lig-blk_2_t1.fastq
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/	ad003_12648_lig-blk_1_t1.fastq	CLU-h2kbKI_HO			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/ad003_12648_lig-blk_1_t1.fastq
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/	ad003_12648_lig-blk_2_t1.fastq	CLU-h2kbKI_HO			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/ad003_12648_lig-blk_2_t1.fastq
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/	ad003_12649_lig-blk_1_t1.fastq	5xCLU-h2kbKI_HO			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/ad003_12649_lig-blk_1_t1.fastq
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/	ad003_12649_lig-blk_2_t1.fastq	5xCLU-h2kbKI_HO			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/ad003_12649_lig-blk_2_t1.fastq
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/	ad003_12659_lig-blk_1_t1.fastq	5xCLU-h2kbKI_HO			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/ad003_12659_lig-blk_1_t1.fastq
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/	ad003_12659_lig-blk_2_t1.fastq	5xCLU-h2kbKI_HO			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/ad003_12659_lig-blk_2_t1.fastq
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/	ad003_12660_lig-blk_1_t1.fastq	CLU-h2kbKI_HO			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/ad003_12660_lig-blk_1_t1.fastq
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/	ad003_12660_lig-blk_2_t1.fastq	CLU-h2kbKI_HO			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/ad003_12660_lig-blk_2_t1.fastq
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/	ad003_12670_lig-blk_1_t1.fastq	CLU-h2kbKI_HO			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/ad003_12670_lig-blk_1_t1.fastq
/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/	ad003_12670_lig-blk_2_t1.fastq	CLU-h2kbKI_HO			230429	ONT	/share/crsp/lab/seyedam/share/ad_nanopore_tmp/AD003/ad003_trimfastq/ad003_12670_lig-blk_2_t1.fastq
